Designator,Mid X,Mid Y,Rotation,Layer
C1,229.081,-127.825,180.0,top
C10,209.071,-119.701777,0.0,top
C11,131.5,-89.0,135.0,top
C12,155.2815,-107.937492,135.0,top
C13,250.421,-102.075,270.0,top
C14,231.921,-102.25,270.0,top
C15,246.171,-60.001777,0.0,top
C16,136.2815,-107.937492,135.0,top
C17,117.2815,-107.937492,135.0,top
C18,246.171,-64.5,180.0,top
C2,214.071,-119.501777,90.0,top
C3,216.271,-117.501777,90.0,top
C4,212.371,-123.301777,180.0,top
C5,226.221,-121.251777,90.0,top
C7,230.071,-94.801777,270.0,top
C8,230.081,-120.325,270.0,top
C9,211.371,-120.401777,90.0,top
D1,234.5,-55.5,180.0,top
D10,204.089,-92.202,90.0,top
D2,104.902,-103.124,270.0,top
D3,159.131,-122.047,270.0,top
D4,182.626,-84.074,270.0,top
D5,140.208,-121.92,270.0,top
D6,178.562,-122.047,270.0,top
D7,201.676,-84.074,270.0,top
D8,140.208,-133.477,90.0,top
D9,197.104,-122.047,270.0,top
F1,240.0,-55.5,0.0,top
J2,220.671,-53.0,180.0,top
J4,232.641,-88.101777,180.0,top
ML-SW1,136.5,-84.0,0.0,top
ML-SW2,122.25,-103.0,0.0,top
ML-SW3,141.25,-103.0,0.0,top
ML-SW4,160.25,-103.0,0.0,top
R1,219.921,-66.9,90.0,top
R10,250.421,-94.75,90.0,top
R11,231.921,-98.5,270.0,top
R12,231.921,-94.825,90.0,top
R2,221.421,-66.9,90.0,top
R3,218.421,-66.9,90.0,top
R4,222.9,-66.9,90.0,top
R5,200.421,-115.101777,90.0,top
R6,228.081,-120.325,90.0,top
R7,234.696,-77.724,90.0,top
R8,232.664,-77.724,90.0,top
R9,250.421,-98.5,270.0,top
SW1,89.0,-65.0,0.0,top
SW10,174.5,-84.0,0.0,top
SW11,193.5,-84.0,0.0,top
SW12,96.125,-103.0,0.0,top
SW13,179.25,-103.0,0.0,top
SW14,198.25,-103.0,0.0,top
SW15,100.875,-122.0,0.0,top
SW16,131.75,-122.0,0.0,top
SW17,150.75,-122.0,0.0,top
SW18,169.75,-122.0,0.0,top
SW19,188.75,-122.0,0.0,top
SW2,108.0,-65.0,0.0,top
SW20,91.375,-141.0,0.0,top
SW21,112.75,-141.0,0.0,top
SW22,131.75,-141.0,0.0,top
SW23,150.75,-141.0,0.0,top
SW24,181.625,-141.04,0.0,top
SW25,223.671,-103.0,180.0,top
SW26,241.171,-102.75,270.0,top
SW27,205.69,-116.078,180.0,top
SW28,205.671,-116.101777,180.0,bottom
SW3,127.0,-65.0,0.0,top
SW4,146.0,-65.0,0.0,top
SW5,165.0,-65.0,0.0,top
SW6,184.0,-65.0,0.0,top
SW7,93.75,-84.0,0.0,top
SW8,117.5,-84.0,0.0,top
SW9,155.5,-84.0,0.0,top
U1,219.371,-123.15,180.0,top
U2,204.671,-123.351777,270.0,top
U3,238.256,-62.25,180.0,top
Y1,229.021,-124.3925,90.0,top
